left_x(col) left_y(row)	right_x(col) right_y(row)	coefficient
378	948		260	911		0.980055
396	942		279	905		0.877771
72	734		514	709		0.716935
459	892		340	855		0.948533
600	924		479	887		0.864465
414	976		297	939		0.932028
304	850		188	815		0.985551
253	1057		138	1018		0.89515
424	390		304	358		0.899821
180	1086		67	1047		0.807892
257	134		134	98		0.94918
699	540		577	507		0.885784
502	612		382	579		0.748232
577	353		455	321		0.942434
253	739		137	705		0.967767
636	969		515	932		0.835581
399	911		282	874		0.96815
599	1044		479	1006		0.960648
418	922		300	885		0.965167
251	893		135	857		0.948412
502	999		383	961		0.855171
125	741		296	742		0.718574
463	635		344	602		0.90378
258	1091		144	1052		0.88581
273	969		158	932		0.887199
553	950		433	913		0.989609
550	1003		431	965		0.951314
235	843		92	871		0.76678
271	901		584	932		0.946629
494	841		375	805		0.921895
26	1055		388	1054		0.787932
393	950		276	913		0.950658
50	794		638	833		0.8332
244	261		125	230		0.860795
355	472		236	440		0.915944
211	588		95	556		0.918995
501	574		380	541		0.944035
600	887		479	851		0.955831
271	729		155	695		0.966961
656	943		535	906		0.93715
450	502		330	470		0.899991
410	1063		292	1024		0.954658
450	761		331	726		0.935003
242	885		127	849		0.958556
553	950		433	913		0.989609
62	709		154	663		0.839918
399	911		282	874		0.96815
51	1005		431	988		0.865068
584	493		463	460		0.885892
282	903		166	867		0.920727
412	1064		294	1025		0.972325
474	846		354	810		0.962635
321	851		205	816		0.87477
632	876		511	840		0.896562
66	1008		506	1039		0.770667
399	911		282	874		0.96815
443	187		321	156		0.891006
656	994		535	956		0.823402
271	230		152	200		0.9461
477	384		356	352		0.829674
120	225		664	244		0.937317
352	1051		236	1013		0.983515
275	731		159	697		0.91484
212	589		96	557		0.916317
501	999		381	961		0.857339
396	936		279	899		0.922117
286	864		170	828		0.926969
479	842		359	806		0.920252
214	806		505	806		0.932006
545	850		425	814		0.899916
622	622		500	588		0.960361
105	955		56	974		0.902682
361	1113		245	1073		0.930636
334	785		217	750		0.876255
670	949		549	912		0.930167
206	940		92	903		0.979932
491	390		370	358		0.929121
676	460		554	428		0.772546
525	882		406	846		0.914157
290	943		174	906		0.932963
533	612		413	579		0.954107
723	872		601	836		0.981067
51	1020		248	1055		0.732533
405	422		285	390		0.927728
271	230		152	200		0.9461
278	733		162	699		0.918656
554	871		434	835		0.879692
256	890		140	854		0.943455
151	911		38	875		0.963469
418	1002		300	964		0.764513
503	1000		318	1024		0.841259
217	920		102	884		0.962155
553	950		433	913		0.989609
327	187		208	156		0.975172
56	1084		420	1116		0.874419
693	1053		571	1014		0.971322
557	871		437	835		0.854875
392	541		272	508		0.87421
232	320		114	289		0.915901
321	851		205	816		0.87477
400	450		279	418		0.911186
453	446		333	414		0.856943
508	1008		390	970		0.855424
552	562		431	529		0.957915
100	519		75	507		0.796012
736	869		614	833		0.946449
486	404		365	372		0.858673
440	747		321	713		0.938389
300	1012		524	1028		0.945907
329	189		210	158		0.969995
461	1013		343	975		0.93766
558	872		438	836		0.891861
393	515		293	473		0.908127
327	845		211	810		0.869353
628	831		507	795		0.95027
568	924		447	887		0.963595
450	522		330	489		0.833965
564	537		443	504		0.945904
198	784		83	749		0.857176
598	864		477	828		0.973298
295	141		175	111		0.944507
232	320		114	289		0.915901
348	105		269	89		0.973676
218	466		101	435		0.905939
502	447		382	415		0.873917
250	502		133	470		0.943117
736	869		614	833		0.946449
328	998		211	960		0.841121
