left_x(col) left_y(row)	right_x(col) right_y(row)	coefficient
3721	2522		1810	2522		0.905785
3271	1766		1376	1766		0.989116
3757	2460		1555	2459		0.8789
3004	2048		2267	2041		0.846635
4498	4978		2189	4976		0.916412
2204	275		347	272		0.913594
3344	2704		3662	2699		0.747664
3764	1233		1896	1233		0.935497
49	36		3570	32		0.944884
1963	2918		3227	2912		0.889409
428	4639		4980	4639		0.910269
3072	1714		1188	1714		0.932804
844	4644		732	4646		0.731031
1397	1061		920	1061		0.740652
1011	182		3952	182		0.831401
4542	4598		2678	4598		0.958789
3398	2949		1383	2949		0.961286
3021	2016		1115	2018		0.978418
3740	2558		1827	2558		0.934946
2194	2221		256	2221		0.967089
3769	1220		1900	1220		0.903979
2868	1755		3582	1748		0.962243
1849	90		4387	95		0.855462
449	3454		728	3461		0.77997
4859	1991		3464	1990		0.836408
4399	2947		2517	2947		0.926018
3594	2454		1667	2454		0.948409
4484	2045		2575	2045		0.973661
3750	1810		2458	1804		0.710636
828	2073		32	2076		0.971322
2006	296		144	296		0.96173
2692	941		819	941		0.916294
462	2451		2766	2448		0.87392
4859	1991		3464	1990		0.836408
4433	2756		4770	2761		0.819049
4450	2006		1983	1999		0.863018
3506	3372		1558	3371		0.981778
3954	2546		2053	2546		0.890843
2904	3120		2763	3127		0.885612
869	2227		2806	2225		0.829813
750	3210		1854	3212		0.864745
2030	2913		3059	2913		0.74419
1963	2918		3227	2912		0.889409
3190	1543		1307	1543		0.951765
250	412		138	407		0.895849
1294	1384		4595	1379		0.949343
1022	167		4167	169		0.877387
1858	287		4196	283		0.905813
3552	1285		1679	1285		0.858736
1357	2218		1801	2222		0.972039
3498	1560		1257	1554		0.861038
3987	2904		2954	2901		0.883554
2751	2876		676	2877		0.82155
2939	3246		1958	3248		0.709415
2954	4296		1098	4296		0.792524
497	2463		2244	2467		0.832744
4182	531		2312	531		0.881369
546	2188		243	2183		0.844838
3498	1560		1257	1554		0.861038
2074	1618		340	1622		0.85738
964	732		4312	733		0.925342
3309	629		1442	629		0.78145
2520	4342		3034	4345		0.886208
3575	1313		1702	1313		0.968355
1586	773		2454	768		0.753657
1886	127		3714	129		0.888298
3521	1516		1642	1516		0.941963
3009	3188		2303	3193		0.825
3817	2922		1830	2922		0.968219
4692	3270		2781	3270		0.968779
2757	1011		886	1011		0.919451
488	3026		264	3018		0.918302
4249	711		3063	706		0.931092
3747	3595		1846	3595		0.888529
3311	629		3475	631		0.784782
2627	1994		995	1987		0.862622
3032	3819		1164	3819		0.953735
4561	1479		1276	1472		0.914568
4955	2082		3034	2082		0.943602
2771	1010		1162	1017		0.841699
291	1577		3474	1572		0.822354
4222	3741		3265	3744		0.895286
2249	3359		2160	3361		0.950497
594	4894		2175	4893		0.935053
3302	1535		1420	1535		0.94557
2532	4319		2175	4325		0.867504
756	929		918	936		0.849427
1647	811		4433	809		0.922842
1894	298		380	303		0.946539
4950	1506		3068	1506		0.914142
3155	1116		1287	1116		0.919566
3753	3582		1852	3582		0.971943
2301	3385		3047	3391		0.788446
4955	2082		3034	2082		0.943602
3844	2204		1909	2204		0.814681
2773	1023		902	1023		0.955205
428	4639		4980	4639		0.910269
4070	4587		2213	4583		0.887625
4950	1506		3068	1506		0.914142
4417	1636		2541	1637		0.884614
2413	3379		92	3384		0.824868
2704	4546		740	4543		0.898207
4237	2654		2791	2646		0.883181
3011	718		1143	718		0.769768
468	3702		488	3694		0.801561
4109	984		2241	984		0.969434
632	4894		2996	4896		0.843971
1550	439		991	434		0.848014
1573	1605		3053	1603		0.847601
3533	1539		1659	1533		0.959005
1362	3588		5083	3594		0.961597
2573	3614		4508	3612		0.756751
3010	1746		1122	1746		0.931992
4433	1752		3583	1759		0.852259
3556	599		3622	603		0.827679
2705	4546		2754	4547		0.916434
4043	2824		1740	2817		0.86103
4728	178		2917	173		0.722624
4154	3203		3487	3200		0.892556
507	3732		62	3731		0.882586
4160	949		419	948		0.915015
2402	80		542	80		0.986416
1944	2471		4311	2475		0.725627
4543	2324		2627	2320		0.926669
4764	4254		2884	4254		0.913873
2506	1260		4185	1264		0.831153
4445	2883		2949	2883		0.972245
4183	3006		1401	3001		0.868287
699	3204		394	3208		0.741398
4248	4719		2386	4719		0.94158
1647	811		4433	809		0.922842
636	4859		2316	4856		0.728279
1598	340		470	344		0.801019
3748	1310		1877	1310		0.91548
2377	2244		437	2244		0.960136
1775	53		81	45		0.938855
1078	422		805	415		0.866592
3500	1461		1620	1461		0.945285
1370	3588		4266	3583		0.909009
3347	1305		1466	1305		0.855469
4734	1795		2831	1795		0.937109
2507	1261		4969	1258		0.76323
4293	2574		2392	2574		0.945919
1068	2219		4400	2224		0.78185
598	2892		290	2896		0.85045
4249	4515		2541	4519		0.802679
2377	2244		437	2244		0.960136
3519	1470		59	1464		0.947367
4792	4348		2937	4348		0.75759
2523	1273		524	1277		0.912899
4660	2467		2754	2467		0.891452
1081	2298		2189	2304		0.779039
508	1296		4120	1289		0.876228
500	3460		526	3464		0.730217
4233	520		2363	520		0.949051
646	1027		775	1034		0.747511
1600	341		4384	347		0.798235
3606	1034		1736	1034		0.956429
1816	805		3222	800		0.751553
1789	138		60	130		0.940877
1262	3404		5113	3401		0.941144
1843	3066		2628	3061		0.912798
3157	2911		1112	2911		0.985865
4700	1756		1288	1750		0.828036
2535	1136		673	1128		0.911614
3500	2060		1597	2060		0.967329
3440	1293		1560	1293		0.859974
526	3245		1403	3250		0.747619
4695	2633		3766	2631		0.91393
3182	635		4001	640		0.831253
4316	645		2446	645		0.94566
